,emoji_symbol,emoji_name,emoji_code,emoji_description
435,👑,Crown,U+1F451,"A gold crown with jewels on the sides. Representative of a King, Queen, or other form of Royalty."
436,👒,Woman’s Hat,U+1F452,"A hat worn by women for sun protection, or for fashion.The Apple version of this hat is made of straw and has a green bow on the front.Google shows a yellow hat on Android (with a ribbon in the latest version), while Windows and Twitterboth feature aflower on the front of thehat."
437,🎩,Top Hat,U+1F3A9,"A top hat, worn in traditionalBritishweddings and other formal occasions. This is also a popular playing piece in the game ofMonopoly."
438,🎓,Graduation Cap,U+1F393,"A graduation cap, worn on the head of students graduating from college or university. Known in some locations as a mortar board with tassel."
439,🧢,Billed Cap,U+1F9E2,Billed Cap
440,⛑️,️ Rescue Worker’s Helmet,"U+26D1, U+FE0F","A construction helmet, which is worn by theconstruction workeremoji in some emoji sets.The cross on the helmet (shown in the Appleversion of this emoji) is used in Japan as a safety reminder inconstructionzones. It is also commonly seen on theMethelmet in the gameMega Man."
441,💄,Lipstick,U+1F484,"Lipstickshown withthe lid removed. Displays in a shade of red on most platforms, except Android which has a pink color."
442,💍,Ring,U+1F48D,"A ring with displaying agem stoneof some kind on the top, most likely a diamond. This piece of jewellery is oftenassociated with a proposal and subsequentengagementto bemarried."
443,💼,Briefcase,U+1F4BC,"A place to store notes and other office materials. Primarily used by older people.Generallyshown as a brown case with a handle on top, and a silver or gold colored clasp on the front. Facebook shows two leather straps on the front."
444,🩸,Drop of Blood,U+1FA78,"A drop of blood shown in red. May be used to signify a blood donation, bleeding, injury ormenstruation.Drop of Bloodwas approved as part ofUnicode 12.0in 2019
and added toEmoji 12.0in 2019."
445,🙈,See-No-Evil Monkey,U+1F648,"Thesee no evilmonkey, calledMizaru(Japanese for “see not”), one of theThree Wise Monkeys. Depicted as the brown🐵 Monkey Facewith tan or pinkish hands covering its eyes.The Three Wise Monkeys represent the proverbsee no evil, hear no evil, speak no evil, frequently interpreted as a call to discretion or figure for willful ignorance.Often used as a playful way to convey a laughing, disbelieving, or cringingI can’t believe what I’m seeing!orI can’t bear to look!See also🙉 Hear-No-Evil Monkeyand🙊 Speak-No-Evil Monkey."
446,🙉,Hear-No-Evil Monkey,U+1F649,"Thehear no evilmonkey, calledKikazaru(Japanese for “hear not”), one of theThree Wise Monkeys. Depicted as the brown🐵 Monkey Facewith tan or pinkish hands covering its ears.The Three Wise Monkeys represent the proverbsee no evil, hear no evil, speak no evil, frequentlyinterpreted as a call to discretion or figure for willful ignorance.Often used as a playful way to conveyI can’t believe what I’m hearing!or, more generally,express astonishment or disbelief.Google’s design featuresscrunched, X-shaped eyes.See also🙈See-No-Evil Monkeyand🙊 Speak-No-Evil Monkey."
447,🙊,Speak-No-Evil Monkey,U+1F64A,"Thespeak no evilmonkey, calledIwazaru(Japanese for “say not”), one of theThree Wise Monkeys. Depicted as the brown🐵 Monkey Facewith its tan or pinkish hands covering its mouth.The Three Wise Monkeys represent the proverbsee no evil, hear no evil, speak no evil, frequently interpreted as a call to discretion or figure for willful ignorance.Often used as a playful way to conveyI can’t believe what I just said!, express a mischievousOops!, or communicate a secret-keepingI won’t say a word. May be used to similar effect as🤭 Face With Hand Over Mouthor🤐 Zipper Mouth.See also🙈 See-No-Evil Monkeyand🙉 Hear-No-Evil Monkey."
448,💥,Collision,U+1F4A5,"A cartoon-styled representation of a collision. Depicted as a star-like, orange-and-yellow fiery burst, generally with one point extending to the bottom right, as if from the source of the collision.May be used to represent various types of bangs, explosions, or crashes. Like🔥 Fireand💯 Hundred Points, commonly used to represent something is excellent or exciting in some way.Apple implements a version of 💥 Collision in its🧨 Firecrackerand📸 Camera With Flash."
449,💫,Dizzy,U+1F4AB,"A cartoon-styled representation ofdizziness. Generally depicted as one or more yellow stars swirling in a yellow or blue circle.Resemblessqueans, stylized stars and circles over the heads of characters in comics and animation to show they are dizzy,disoriented, intoxicated, orsick.Commonly used for emphasis and flair or to indicate various positive sentiments. Like🌠 Shooting Star, sometimes used as a visual reference to NBC’sMore You Knowpublic service announcement, popular in the 1990s and featuring ashooting star logo.Not to be confused with⭐ Star,🌟 Glowing Star, and✨ Sparkles, though their applications may overlap.Facebook’s design features two stars spinning along two intersecting purple circles, though itpreviouslyonly featured oneyellow ring.Samsung’sdesign previously displayed several yellow circles and stars."
450,💦,Sweat Droplets,U+1F4A6,"Three, light blue droplets, as sweat beads, splashing down to the right. Resemblesplewds, stylized sweat droplets used in comics and animation to show characters working hard or feeling stressed.May be used to represent various types of liquids, including sexual fluids. May also be used to represent various liquid-based slang expressions (e.g.,drip, “exceptional style, swagger"").Not to be confused with💧 Droplet, though their applications may overlap.Google,Microsoft, andSamsung'sdesign previously featured two, upwardly directed droplets."
451,💨,Dashing Away,U+1F4A8,"A cartoon-styled gust of air. Depicted as a small, graycloudwith motion lines, rushing to the left.Resemblesbriffits, a stylized cloud of dust used in comics and animation to indicate someone or something has dashed away (e.g.,leaving someone in the dust).May be used to represent speed, smoking, and various types of wind, blown or broken. May precedeother emoji, such as🏃Runneror🚗 Automobile, to indicate something is fast or fleeing:🏃💨, 🚗💨.Not to be confused🌬️ Wind Face, though their applications may overlap."
452,🐵,Monkey Face,U+1F435,"A friendly, cartoon-styled face of a monkey, looking straight ahead. Depicted as a brown-haired monkey with a tan or pinkish face, round ears, nostrils, and open-mouthed smile.As with the full-bodied🐒 Monkey, often used with a playful tone or for metaphorical senses ofmonkey.One of the 12 animals of theChinese zodiac. Available as an AppleAnimoji.Vendors implement the sameor similar monkey face in their Three Wise Monkeys emojis:🙈 See-No-Evil Monkey,🙉 Hear-No-Evil Monkey, and🙊 Speak-No-Evil Monkey.Facebook’s monkeypreviouslyresembled🐻 Bear Face."
453,🐒,Monkey,U+1F412,"A monkey, a small primate with long limbs and tail for climbing trees. Generally depicted as a cartoon-styled, brown monkey with a cheeky facial expression, shown in full profile facingleft, sitting on its hind legs with a long, curled tail and round ears.As with🐵 Monkey Face, often used with a playful tone or for metaphorical senses ofmonkey.One of the 12 animals of theChinese zodiac.WhatsApp’s monkey is facing right, Facebook’s has shaggy hair."
454,🦍,Gorilla,U+1F98D,"A gorilla, the powerful, black-haired great ape. Variously depicted in full profile on all fours facing left or as a friendly, cartoon-styled gorilla face looking straight ahead.Apple, WhatsApp, Facebook, and Microsoft’s designs feature a full gorilla, as asilverback, with strong shoulders and reddish forehead. Google, Samsung, and Twitter’s designs feature a black and gray gorilla face with a neutral expression and prominent forehead and jaw.Facebook’s designpreviouslyfeatured only a gorilla face."
455,🦧,Orangutan,U+1F9A7,"An orangutan, the orange-haired ape with long arms. Depicted facing forward, with a long broad faceand sitting with its legs bent. Often shown scratching its head. Skin color varies across platforms, ranging fromlight to dark.Google’s orangutan has purplish skin, Twitter's is smiling.Orangutanwas approved as part ofUnicode 12.0in 2019
and added toEmoji 12.0in 2019."
456,🐶,Dog Face,U+1F436,"What a good doggo! A friendly, cartoon-styled face of a dog, looking straight ahead. Depicted as the face of a dog of various breeds, generally light-brown and white, with pointed or floppy ears and its tongue hanging out.May be used with a more playful tone than the full-bodied🐕 Dog, though their applications generally overlap. See also🐩 Poodle.One of the 12 animals of theChinese zodiac. Available as an AppleAnimoji.Many vendors implement the same or similar dog as their full-bodied🐕 Dog, such as Google and Facebook, which feature aShiba Inu. Apple, Microsoft, and WhatsApp’s dogs have a white face with brown, floppy ears and a brown patch over one eye.Included in the earliest Japanese emoji sets fromSoftbank,Docomo, andau by KDDI."
457,🐕,Dog,U+1F415,"A dog, a faithful, beloved pet canine. Depicted as a light-brown dog, of various breeds, in full profile on all fours facing left, with a long, curled tail held upright and pointed or floppy ears.Google and Facebook’s dogs resemble a reddish-brownShiba Inu, a popular Japanese breed featured in theDoge meme.See also🐩 Poodleand🐶 Dog Face, whose applications may overlap. Some vendors implement the same or a similar dog in their🦮 Guide Dogand🐕‍🦺 Service Dog.One of the 12 animals of theChinese zodiac.GoogleandFacebookpreviously featured puppies with collars, Apple’s dogpreviouslyresembled anAkita Inu, another popular Japanese breed."
458,🦮,Guide Dog,U+1F9AE,"Aguide (or Seeing Eye) dog, trained to help lead a person who is blind or visually impaired. Generally depicted as a yellowish-brown Labrador Retriever on all fours facing left, equipped with a harness and handle. Many platforms additionally include a collar.Not to be confused with🐕‍🦺 Service Dog, though their popular applications may overlap.Twitter implements the same dog as its🐕 Dog. Samsung and Twitter’s guide dogs have green harnesses.Guide Dogwas approved as part ofUnicode 12.0in 2019
and added toEmoji 12.0in 2019."
459,🐕‍🦺,‍🦺 Service Dog,"U+1F415, U+200D, U+1F9BA","A service animal displayed with a safety vest and lead. Differs from the guide dog as this animal is intendedfor detection of seizures or other “hidden disabilities”, according to theproposal from Apple.The Service Dog emoji is aZWJ sequencecombining🐕Dog,‍Zero Width Joinerand🦺Safety Vest.
These display as a single emoji on supported platforms.Service Dogwas added toEmoji 12.0in 2019."
460,🐩,Poodle,U+1F429,"Apoodle, a popular dog breed with curly hair, often groomed in an ornamental pattern.Generally depicted as a grayish-white poodle in full profile on all fours facing left, with a shaved torso, legs, and face with fuller, pom-pom-like hair on its head, ears, chest, feet, and tip of tail (as theContinental Clip).Like🐕 Dog, may be used to represent a variety of dog breeds (often fluffy or long-haired). See also🐶 Dog Face.With an upturned snout, Google’s poodle bears an endearinglyhaughty expression.Google,Samsung, andFacebook’sdesign previously featured pink poodles."
461,🐺,Wolf,U+1F43A,"The face of a wolf, a howling canine that hunts in packs. Generally depicted as a cartoon-styled face of a gray wolf with pointed ears,white cheeks andmuzzle, and black nose.Its expression is variously neutral, friendly, or slightly menacing, as in Google and Samsung’s designs. Apple’s design features the head of gray wolf, facing left.Occasionally used to represent metaphorical senses ofwolf, e.g.,lone wolf,wolf pack.AppleandSoftBank’sdesigns previously resembled a reddish-brown canine, resembling adogorfox."
462,🦊,Fox,U+1F98A,"A friendly, cartoon-styled faced of a fox, the cunning canine, looking straight ahead. Depicted as an orange fox face with a black nose, pointed ears, and shaggy, white cheeks.Often used with an affectionate or playful tone (e.g., slang,foxy). Does not have a full-bodied fox emoji counterpart.Available as an AppleAnimoji."
463,🦝,Raccoon,U+1F99D,"A raccoon, a nocturnal mammal with a mask around its eyes. Generally depicted as a friendly, cartoon-styled, gray raccoon face looking straight ahead, with black-and-white markings around its eyes andpointed ears and cheeks.Apple and WhatsApp’s designs feature a raccoon in full profile on all fours facing left with a striped, bushy tail."
464,🐱,Cat Face,U+1F431,"Meow! A friendly, cartoon-styled face of a cat, looking straight ahead. Generally depicted as a yellowish-orange cat face with pointed ears and whiskers.May be used with a more affectionate tone than the full-bodied🐈 Cat, though their applications generally overlap.Available as an AppleAnimoji.Vendors implement the same or similar cat in their🐈 Catas well as in their cat-faced variants of smileys:Google’s cat face waspreviouslyorange,Samsung’sgray, andFacebook’sonce gray and white. Included in the earliest Japanese emoji sets fromSoftbank,Docomo, andau by KDDI."
465,🐈,Cat,U+1F408,"A domestic cat, beloved as apet. Generally depicted as a light-orange cat with stripes, as atabby, in full profile on all fours facing left, with its long tell held upright.See also🐱 Cat Face.Google’s cat is cartoon-styled, shown sitting on its hind legs with a friendly expression and whiskers. Facebook’s cat is a gray tabby, thoughpreviouslywas orange.MicrosoftandSamsung’scats were previously gray,Twitter’sbrown."
466,🦁,Lion,U+1F981,"A friendly, cartoon-styled face of a lion—the large cat and king of the jungle—looking straight ahead. Depicted as a golden-yellow lion face with a light- or dark-brown mane, white muzzle, and neutral expression.Often used with an affectionate tone. Does not have a full-bodied lion emoji counterpart. A lion is represented as♌ Leoin the Western zodiac.Available as an AppleAnimoji.Apple's lionpreviouslyfeatured a timid-looking expression."
467,🐯,Tiger Face,U+1F42F,"A friendly, cartoon-styled face of a tiger looking straight ahead. Generally depicted in yellowish-orange with black stripes on its forehead and cheeks, a white muzzle, and neutral expression.Often used with a more affectionate tone than the full-bodied🐅 Tiger.Available as an AppleAnimoji."
468,🐅,Tiger,U+1F405,"A tiger, a large cat with an orange coat and black stripes. Depicted in full profile on all fours facing left, with a long tail, its distinctive stripes, and, on some platforms, white patches.See also🐯 Tiger Face. Not to be confused with🐆 Leopard.One of the 12 animals of theChinese zodiac.Google’s design is noticeably more cartoon-styled, as Facebook’spreviouslywas. Microsoft’s designpreviouslyfeatured a yellow, forward-facing tiger, as if on the prowl."
